epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.875,1.61899,2.94226,1.3905,0.77175,0.51395,0.53076,0.24316,1.85168,3.25374,1.25649,0.000664509,0.000664509,0.000664509
2,231.738,1.70039,1.684,1.43461,0.75662,0.48054,0.51041,0.24121,1.98943,5.91934,1.33317,0.00130482,0.00130482,0.00130482
3,341.665,1.71946,1.44579,1.46528,0.63777,0.42015,0.4421,0.21178,1.92146,2.29928,1.27363,0.00191873,0.00191873,0.00191873
4,439.736,1.71864,1.31658,1.45693,0.7623,0.61618,0.6898,0.32071,1.75347,1.6048,1.28497,0.0018812,0.0018812,0.0018812
5,537.414,1.63263,1.242,1.4234,0.74803,0.50897,0.52011,0.25948,1.81415,2.57956,1.28673,0.0018416,0.0018416,0.0018416
6,637.908,1.62298,1.17241,1.4086,0.81876,0.55553,0.71076,0.35594,1.68997,1.6517,1.23202,0.001802,0.001802,0.001802
7,735.552,1.58671,1.09738,1.39294,0.7524,0.66097,0.71452,0.36804,1.71488,1.63311,1.24323,0.0017624,0.0017624,0.0017624
8,853.142,1.57726,1.05698,1.38586,0.68761,0.54825,0.60325,0.31205,1.73026,1.76333,1.30976,0.0017228,0.0017228,0.0017228
9,982.069,1.54995,1.01672,1.36844,0.81995,0.75406,0.81405,0.42398,1.61938,1.44525,1.20575,0.0016832,0.0016832,0.0016832
10,1105.65,1.55079,0.98204,1.36564,0.76221,0.70538,0.75863,0.37204,1.74221,1.45506,1.25882,0.0016436,0.0016436,0.0016436
11,1220.66,1.5393,0.96659,1.36179,0.81624,0.76089,0.82886,0.4265,1.66691,1.09724,1.24723,0.001604,0.001604,0.001604
12,1348.84,1.52412,0.95251,1.35988,0.87139,0.72323,0.80906,0.43823,1.58956,1.20815,1.20035,0.0015644,0.0015644,0.0015644
13,1487.04,1.495,0.90452,1.34124,0.77274,0.69107,0.76923,0.39584,1.60772,1.29772,1.20885,0.0015248,0.0015248,0.0015248
14,1617.86,1.50163,0.89241,1.33532,0.79295,0.73356,0.81274,0.42092,1.64498,1.17198,1.24363,0.0014852,0.0014852,0.0014852
15,1767.92,1.50238,0.90677,1.33579,0.81189,0.7777,0.83929,0.44576,1.57541,1.24196,1.20136,0.0014456,0.0014456,0.0014456
16,1912.98,1.49222,0.86851,1.32764,0.82128,0.78736,0.81228,0.43409,1.58204,1.31397,1.20571,0.001406,0.001406,0.001406
17,2050.47,1.46399,0.85636,1.3258,0.84065,0.77626,0.82503,0.43852,1.56268,1.30317,1.19545,0.0013664,0.0013664,0.0013664
18,2188.94,1.47756,0.85807,1.33288,0.84177,0.73868,0.83068,0.44195,1.5551,1.22301,1.21363,0.0013268,0.0013268,0.0013268
19,2334.29,1.46154,0.85263,1.32601,0.88556,0.78565,0.86726,0.47702,1.52711,0.97354,1.18945,0.0012872,0.0012872,0.0012872
20,2479.37,1.43893,0.79329,1.30274,0.86445,0.74552,0.84823,0.44811,1.55025,1.07112,1.20779,0.0012476,0.0012476,0.0012476
21,2634.59,1.43918,0.79454,1.31296,0.88965,0.77798,0.87768,0.48521,1.50033,0.95299,1.19869,0.001208,0.001208,0.001208
22,2772.38,1.43734,0.82567,1.30829,0.89032,0.807,0.88447,0.49101,1.51825,0.91107,1.19284,0.0011684,0.0011684,0.0011684
23,2909.01,1.43828,0.79534,1.29835,0.84317,0.74979,0.81975,0.44531,1.51958,1.35682,1.17192,0.0011288,0.0011288,0.0011288
24,3053.75,1.39659,0.78096,1.27501,0.84272,0.81213,0.86722,0.48188,1.48712,0.99378,1.16736,0.0010892,0.0010892,0.0010892
25,3187.76,1.41983,0.78488,1.28488,0.81819,0.75576,0.84132,0.45986,1.51171,1.06899,1.19204,0.0010496,0.0010496,0.0010496
26,3322.06,1.40707,0.75973,1.27496,0.88634,0.80786,0.87821,0.48804,1.50927,0.87781,1.18455,0.00101,0.00101,0.00101
27,3453.46,1.3869,0.75389,1.27174,0.90902,0.802,0.8881,0.49744,1.47672,0.92624,1.17795,0.0009704,0.0009704,0.0009704
28,3584.41,1.39063,0.75768,1.27737,0.89886,0.81042,0.88414,0.49086,1.48486,0.91519,1.16954,0.0009308,0.0009308,0.0009308
29,3715.4,1.38782,0.73243,1.26093,0.88475,0.79321,0.87654,0.49811,1.47464,0.97364,1.16092,0.0008912,0.0008912,0.0008912
30,3849.95,1.36221,0.71835,1.25969,0.89344,0.79478,0.88467,0.50031,1.47887,0.89618,1.15639,0.0008516,0.0008516,0.0008516
31,3974.54,1.37729,0.7234,1.26543,0.91229,0.83177,0.90291,0.51545,1.46627,0.84178,1.1614,0.000812,0.000812,0.000812
32,4109.08,1.37006,0.70508,1.25689,0.88053,0.8164,0.88996,0.52016,1.44562,0.89536,1.15093,0.0007724,0.0007724,0.0007724
33,4239.87,1.34626,0.69636,1.25584,0.89072,0.83348,0.89819,0.51401,1.4631,0.82458,1.15015,0.0007328,0.0007328,0.0007328
34,4366.43,1.35571,0.68232,1.24185,0.91188,0.83177,0.90452,0.52217,1.44809,0.81333,1.15515,0.0006932,0.0006932,0.0006932
35,4493.14,1.34095,0.67593,1.24378,0.92332,0.83296,0.91515,0.53597,1.41423,0.81308,1.14138,0.0006536,0.0006536,0.0006536
36,4620.24,1.3255,0.68599,1.2298,0.85009,0.81554,0.87884,0.50501,1.4416,0.96426,1.14542,0.000614,0.000614,0.000614
37,4746.45,1.33952,0.67319,1.23789,0.88518,0.81383,0.89459,0.51183,1.45089,0.78868,1.15491,0.0005744,0.0005744,0.0005744
38,4873.86,1.3055,0.65216,1.22431,0.89133,0.83604,0.89641,0.51391,1.43863,0.89054,1.14683,0.0005348,0.0005348,0.0005348
39,5000.89,1.31036,0.6494,1.21635,0.90655,0.82921,0.90411,0.51442,1.44468,0.76083,1.16607,0.0004952,0.0004952,0.0004952
40,5127.17,1.33419,0.65252,1.24104,0.93043,0.83177,0.90949,0.5353,1.42891,0.77489,1.15533,0.0004556,0.0004556,0.0004556
41,5244.99,1.31232,0.5953,1.23913,0.88421,0.81515,0.89017,0.5173,1.43418,0.87154,1.14579,0.000416,0.000416,0.000416
42,5363.51,1.2933,0.58954,1.23344,0.89449,0.85428,0.91354,0.53856,1.43924,0.78049,1.15868,0.0003764,0.0003764,0.0003764
43,5481.82,1.28939,0.57731,1.23072,0.89544,0.84458,0.90712,0.53345,1.41968,0.79871,1.15584,0.0003368,0.0003368,0.0003368
44,5593.69,1.28206,0.57245,1.2249,0.88518,0.82297,0.89889,0.5269,1.42839,0.8166,1.16628,0.0002972,0.0002972,0.0002972
45,5704.87,1.28716,0.57392,1.2307,0.902,0.83318,0.89926,0.52779,1.42437,0.80307,1.16416,0.0002576,0.0002576,0.0002576
46,5805.43,1.27189,0.55813,1.22477,0.91124,0.83285,0.90013,0.52602,1.43174,0.7769,1.15998,0.000218,0.000218,0.000218
47,5899.66,1.25279,0.54331,1.21319,0.92955,0.83945,0.91325,0.53969,1.43045,0.77334,1.16497,0.0001784,0.0001784,0.0001784
